url,title,location,raw_size,raw_rooms,price_raw,size_m2,rooms,price_eur,osm_id,lat,lon,scraped_at,source
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1090-alsergrund/wunderschoene-altbauwohnung-in-1090-zu-mieten-1991792012/,Wunderschöne Altbauwohnung in 1090 zu mieten!,"1090 Wien, Alsergrund",134,6,€ 2.399,134.0,6.0,2399.0,1990590,48.2250730,16.3583976,2026-01-14 16:26:46.734794,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1060-mariahilf/3-zimmer-wohnung-mit-loggia-in-1060-wien-1991996099/,3-Zimmer Wohnung mit Loggia in 1060 Wien,"1060 Wien, Mariahilf",137,3,€ 2.495,137.0,3.0,2495.0,1990595,48.1992927,16.3527505,2026-01-14 16:26:46.734794,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/grosszuegige-2-zimmer-wohnung-nahe-troststrasse-in-1100-wien-zu-mieten-2129776108/,Großzügige 2-Zimmer Wohnung nahe Troststraße in 1100 Wien zu mieten,"1100 Wien, Favoriten",67,2,"€ 955,55",67.0,2.0,955.55,1991436,48.1529937,16.3828218,2026-01-14 16:26:46.734794,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/helle-2-zimmer-whg-neue-kueche-neues-bad-1219191652/,"Helle 2 -Zimmer Whg / neue Küche, neues Bad","1100 Wien, Favoriten, Hasengasse 20-22",70,2,"€ 950,07",70.0,2.0,950.07,8083894,48.1794461,16.3698979,2026-01-14 16:26:46.734794,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/smarte-1-zimmer-wohnung-in-bester-lage-1050-wien-815058672/,Smarte 1 Zimmer Wohnung in bester Lage - 1050 Wien!,"1050 Wien, Margareten",31,1,"€ 656,75",31.0,1.0,656.75,1991440,48.1900247,16.3570057,2026-01-14 16:26:46.734794,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/gruen-ruhig-inklusive-heizkosten-1208619118/,"Grün, ruhig, inklusive Heizkosten","1120 Wien, Meidling, Jägerhausgasse",70,2,€ 1.150,70.0,2.0,1150.0,129884741,48.1688978,16.3058369,2026-01-14 16:26:46.734794,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1200-brigittenau/-3-zimmer-mit-balkon-garage-in-1200-wien-1465133312/,++ 3-Zimmer mit Balkon & Garage ++ in 1200 Wien,"1200 Wien, Brigittenau",88,3,€ 1.790,88.0,3.0,1790.0,1991433,48.2432261,16.3757031,2026-01-14 16:26:46.734794,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/2-zimmer-wohnung-mit-terrasse-und-tiefgaragenstellplatz-inkludiert-1096696295/,2 ZIMMER WOHNUNG MIT TERRASSE UND TIEFGARAGENSTELLPLATZ INKLUDIERT!,"1100 Wien, Favoriten, Oberlaaer Straße 206",52,2,€ 1.100,52.0,2.0,1100.0,302249959,48.1427659,16.3847106,2026-01-14 16:26:46.734794,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1090-alsergrund/-neu-fantastisch-aufgeteilte-4-zimmer-dg-wohnung-in-absoluter-bestlage-des-09-bezirks-viktor-frankl-park-mariannengasse-dachterrasse-ab-maerz-26-1812295665/,++NEU++ Fantastisch aufgeteilte 4 Zimmer DG-Wohnung in absoluter Bestlage des 09. Bezirks - Viktor Frankl Park / Mariannengasse +++ Dachterrasse! ++++ AB MÄRZ 26!,"1090 Wien, Alsergrund",127,4,€ 3.399,127.0,4.0,3399.0,1990590,48.2250730,16.3583976,2026-01-14 16:26:46.734794,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/-loftige-helle-2-zimmer-neubauwohnung-ab-2026-1025021322/,"*LOFTIGE, HELLE 2-ZIMMER-NEUBAUWOHNUNG - ab 2026*","1120 Wien, Meidling",74,2,"€ 1.181,37",74.0,2.0,1181.37,1990596,48.1719649,16.3286908,2026-01-14 16:26:46.734794,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1060-mariahilf/wg-zimmer-am-naschmarkt-gemuetliche-2er-wg-im-6-bezirk-69-m-wohnung-1084278478/,WG-Zimmer am Naschmarkt: Gemütliche 2er-WG im 6. Bezirk (69 m² Wohnung),"1060 Wien, Mariahilf, Laimgrubengasse 8",69,3,€ 700,69.0,3.0,700.0,131318509,48.1984408,16.3603329,2026-01-14 16:26:46.734794,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1180-waehring/-grosse-und-helle-3-zimmerwohnung-mit-balkon-beim-waehringerpark-hoch-oben-1914194599/,"""Große und helle 3-Zimmerwohnung mit Balkon beim Währingerpark - hoch oben""","1180 Wien, Währing",83,3,€ 1.411,83.0,3.0,1411.0,1990600,48.2341106,16.3216081,2026-01-14 16:26:46.734794,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1230-liesing/ab-01-02-charmante-1-zimmer-wohnung-in-liesing-u6-naehe-1885369369/,ab 01.02. - Charmante 1-Zimmer-Wohnung in Liesing - U6 Nähe,"1230 Wien, Liesing, In der Wiesen 13",31,1,€ 649,31.0,1.0,649.0,571883955,48.1446851,16.3205370,2026-01-14 16:26:46.734794,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1150-rudolfsheim-fuenfhaus/provisionsfrei-145qm-wohnbuero-neu-saniert-sonnig-weitblick-1011921844/,PROVISIONSFREI - 145qm Wohnbüro - neu saniert-sonnig - Weitblick,"1150 Wien, Rudolfsheim-Fünfhaus, Wieninger Platz",145,7,€ 2.400,145.0,7.0,2400.0,291245679,48.1935783,16.3189792,2026-01-14 16:26:46.738787,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1180-waehring/perfekte-singlewohnung-mit-grosser-innenhof-terrasse-beim-schubertpark-ab-jaenner-2026-1016012933/,Perfekte Singlewohnung mit großer Innenhof-Terrasse beim Schubertpark - ab Jänner 2026!,"1180 Wien, Währing",38,2,€ 999,38.0,2.0,999.0,1990600,48.2341106,16.3216081,2026-01-14 16:26:46.738787,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/kompakte-1-zimmer-wohnung-mit-all-inclusive-miete-in-top-lage-jetzt-anfragen-1200937232/,Kompakte 1-Zimmer Wohnung mit All-inclusive Miete in Top-Lage - JETZT ANFRAGEN!,"1220 Wien, Donaustadt, Tokiostraße 12",36,1,"€ 720,79",36.0,1.0,720.79,181051390,48.2495457,16.4304104,2026-01-14 16:26:46.738787,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/moderne-3-zimmer-wohnung-mit-terrasse-und-loggia-hochwertiger-ausstattung-838448437/,MODERNE 3-ZIMMER-WOHNUNG MIT TERRASSE UND LOGGIA - HOCHWERTIGER AUSSTATTUNG,"1210 Wien, Floridsdorf, Pastorstraße 28",93,3,€ 2.390,93.0,3.0,2390.0,461434898,48.2743895,16.4440153,2026-01-14 16:26:46.738787,willhaben
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/klassische-4-5-zimmer-altbauwohnung-im-botschaftsviertel-1490509092/,"Klassische 4,5 Zimmer Altbauwohnung im Botschaftsviertel","1030 Wien, Landstraße",156,4,"€ 2.013,86",156.0,4.0,2013.86,1991416,48.1936436,16.3962862,2026-01-14 16:26:46.738787,willhaben
