stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,level_id,platform_code
"at:43:3288:0:1","Helmahof Ofnerstraße","48.31465636","16.59574605","3091","","","Level 0","1"
"at:43:3288:0:2","Helmahof Ofnerstraße","48.31452493","16.59571012","3091","","","Level 0","2"
"at:43:3289:0:1","Helmahof Quadenstraße","48.31568391","16.59244025","3091","","","Level 0","1"
"at:43:3289:0:2","Helmahof Quadenstraße","48.31563014","16.59228754","3091","","","Level 0","2"
"at:43:3290:0:1","Helmahof Stefan-Fadinger-Straße","48.30941079","16.57074594","3091","","","Level 0","1"
"at:43:3290:0:2","Helmahof Stefan-Fadinger-Straße","48.30955418","16.57106933","3091","","","Level 0","2"
"at:43:3291:0:1","Deutsch-Wagram Theodor-Körner-Gasse","48.29680248","16.56019972","3091","","","Level 0","1"
"at:43:3291:0:2","Deutsch-Wagram Theodor-Körner-Gasse","48.29668296","16.56033446","3091","","","Level 0","2"
"at:43:3292:0:2","Helmahof Bahnhof","48.31159751","16.59765946","3091","","Pat:43:3292","Level 0","1"
"at:43:3292:0:3","Helmahof Bahnhof","48.31154374","16.59746184","3091","","Pat:43:3292","Level 0","2"
"at:43:3292:1","G1","48.31050416","16.59761455","","","Pat:43:3292","Level 0",""
"at:43:3292:3","Zugang","48.31042649","16.59703963","","2","Pat:43:3292","Level 0",""
"at:43:3292:4","P+R","48.31059378","16.59676115","","3","Pat:43:3292","Level 0",""
"at:43:3292:5","G2","48.31040259","16.59766845","","","Pat:43:3292","Level 0",""
"at:43:3292:6","zg","48.31012776","16.59618623","","3","Pat:43:3292","Level -1",""
"at:43:3295:0:1","Diendorf b. Würmla Ortsmitte","48.27609659","15.85437543","3453","","","Level 0","1"
"at:43:3295:0:2","Diendorf b. Würmla Ortsmitte","48.27602484","15.85442035","3453","","","Level 0","2"
"at:43:3296:0:1","Diendorf b. Würmla Tautendorfer Straße","48.27601289","15.85312677","3453","","","Level 0","1"
"at:43:3296:0:2","Diendorf b. Würmla Tautendorfer Straße","48.27638356","15.85314474","3453","","","Level 0","2"
"at:43:3297:0:1","Dietersdorf/Tulln Feuerwehr","48.26533984","15.96856029","3496","","","Level 0","1"
"at:43:3297:0:2","Dietersdorf/Tulln Feuerwehr","48.26535778","15.96834469","3496","","","Level 0","2"
