url,title,location,raw_size,rooms,price_raw,size_m2,price_eur,osm_id,lat,lon
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/traumhaftes-penthouse-mit-dachgarten-i-nahe-dem-parlament-befristet-690124279/,traumhaftes Penthouse mit Dachgarten I nahe dem Parlament - befristet,"1010 Wien, 01. Bezirk, Innere Stadt, Parlament, Rathausplatz, Volksgarten",213,4,"€ 7.114,30",213.0,7114.3,,,
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/helle-2-zimmer-wohnung-mit-separater-kueche-und-loggia-gartenmitbenutzung-top-lage-1120-wien-naehe-hietzinger-bad-2081894162/,"Helle 2-Zimmer-Wohnung mit separater Küche und Loggia, Gartenmitbenutzung & Top-Lage - 1120 Wien (Nähe Hietzinger Bad)","1120 Wien, 12. Bezirk, Meidling, Münchenstrasse",61,2,€ 980,61.0,980.0,10197657,48.1689196,16.2979947
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/erstbezug-hochwertige-2-zimmer-wohnung-45-m-mit-klimaanlage-neuer-einbaukueche-direkt-vom-eigentuemer-stammersdorf-2125163926/,Erstbezug! Hochwertige 2-Zimmer-Wohnung (45 m²) mit Klimaanlage & neuer Einbauküche - direkt vom Eigentümer - Stammersdorf,"1210 Wien, 21. Bezirk, Floridsdorf, Josef-Flandorfer-Straße 6",45,2,€ 880,45.0,880.0,8025112,48.2993467,16.4128254
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/direktvergabe-gemeindewohnung-vormerkschein-31-05-2024-1737620964/,Direktvergabe - Gemeindewohnung Vormerkschein: 31.05.2024,"1220 Wien, 22. Bezirk, Donaustadt, Rosalia-Chladek-Gasse",85,3,"€ 823,23",85.0,823.23,35077324,48.2113293,16.5266002
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1200-brigittenau/helles-platzwunder-einbaukueche-donauinsel-naehe-millenniumcity-822448509/,"Helles Platzwunder, Einbauküche, Donauinsel, Nähe Millenniumcity","1200 Wien, 20. Bezirk, Brigittenau, Donaueschingenstraße",53,2,€ 899,53.0,899.0,4583635,48.2348707,16.3807167
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/nachmieter-gesucht-1-zi-45-m2-balkon-924047724/,"Nachmieter gesucht, 1 ZI, 45 m2, Balkon","1100 Wien, 10. Bezirk, Favoriten, Leebgasse 81",45,1,€ 780,45.0,780.0,5095188953,48.1696927,16.3686834
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/3-zimmer-wohnung-in-der-annagasse-toplage-in-der-wiener-innenstadt-979153797/,3-Zimmer-Wohnung in der Annagasse - Toplage in der Wiener Innenstadt,"1010 Wien, 01. Bezirk, Innere Stadt, Annagasse 3a",149,3,€ 2.980,149.0,2980.0,956159222,48.2044841,16.3716917
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/erstbezug-helle-1-zimmer-wohnung-in-1100-wien-1796120149/,(reserviert) Erstbezug | Helle 1-Zimmer-Wohnung in 1100 Wien,"1100 Wien, 10. Bezirk, Favoriten, Quellenstraße",31,1,,31.0,,27259635,48.1729878,16.3943991
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/wunderschoene-3-zimmer-maisonette-wohnung-95-m-mit-12-m-balkon-voll-moebliert-941634582/,(reserviert) Wunderschöne 3-Zimmer-Maisonette-Wohnung (95 m²) mit 12 m² Balkon - voll möbliert,"1100 Wien, 10. Bezirk, Favoriten",95,3,,95.0,,1991436,48.1529937,16.3828218
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/ruhige-sonnige-renovierte-2-zimmerwohnung-goldschlagstrasse-1646467448/,Ruhige sonnige renovierte 2 Zimmerwohnung - Goldschlagstraße,"1140 Wien, 14. Bezirk, Penzing, Goldschlagstraße",50,2,"€ 773,70",50.0,773.7,1084711032,48.1958442,16.3097872
